Time,bean_temp,gas_setting
0,206.9,20
1,202.8,20
2,195.0,20
3,186.8,20
4,174.2,20
5,163.7,20
6,156.9,20
7,146.4,20
8,138.3,20
9,131.9,20
10,124.9,20
11,118.1,20
12,113.4,20
13,108.0,20
14,103.3,20
15,99.6,20
16,96.1,20
17,92.1,20
18,89.1,20
19,86.6,20
20,83.7,20
21,81.3,20
22,79.7,20
23,77.6,20
24,75.8,20
25,74.4,95
26,73.0,95
27,71.7,95
28,70.7,95
29,69.9,95
30,69.2,95
31,68.6,95
32,68.1,95
33,67.6,95
34,67.3,95
35,67.1,95
36,67.0,95
37,66.9,95
38,66.8,95
39,66.9,95
40,67.1,95
41,67.2,95
42,67.4,95
43,67.7,95
44,67.9,95
45,68.3,95
46,68.7,95
47,69.0,95
48,69.3,95
49,69.8,95
50,70.2,95
51,70.6,95
52,71.1,95
53,71.6,95
54,72.0,95
55,72.5,95
56,73.0,95
57,73.5,95
58,73.9,95
59,74.6,95
60,75.1,95
61,75.5,95
62,76.1,95
63,76.7,95
64,77.1,95
65,77.8,95
66,78.3,95
67,78.8,95
68,79.5,95
69,80.1,95
70,80.5,95
71,81.1,95
72,81.7,95
73,82.2,95
74,82.8,95
75,83.4,95
76,84.0,95
77,84.5,95
78,85.2,95
79,85.8,95
80,86.3,95
81,86.9,95
82,87.6,95
83,88.1,95
84,88.7,95
85,89.2,95
86,89.7,95
87,90.2,95
88,90.8,95
89,91.4,95
90,91.9,95
91,92.6,95
92,93.2,95
93,93.6,95
94,94.2,95
95,94.7,95
96,95.2,95
97,95.9,95
98,96.5,95
99,96.9,95
100,97.6,95
101,98.1,95
102,98.6,95
103,99.1,95
104,99.7,95
105,100.1,95
106,100.6,95
107,101.2,95
108,101.7,95
109,102.1,95
110,102.7,95
111,103.3,95
112,103.7,95
113,104.3,95
114,104.8,95
115,105.3,95
116,105.8,95
117,106.4,95
118,106.9,95
119,107.3,95
120,107.8,95
121,108.3,95
122,108.7,95
123,109.3,95
124,109.8,95
125,110.2,95
126,110.8,95
127,111.3,95
128,111.7,95
129,112.3,95
130,112.8,95
131,113.2,95
132,113.6,95
133,114.1,95
134,114.5,95
135,114.9,95
136,115.4,95
137,115.8,95
138,116.2,95
139,116.8,95
140,117.2,95
141,117.6,95
142,118.1,95
143,118.6,95
144,118.9,95
145,119.4,95
146,119.8,95
147,120.3,95
148,120.7,95
149,121.2,95
150,121.6,95
151,121.9,95
152,122.4,95
153,122.8,95
154,123.2,95
155,123.7,95
156,124.1,95
157,124.4,95
158,124.9,95
159,125.3,95
160,125.7,95
161,126.1,95
162,126.6,95
163,126.9,95
164,127.3,95
165,127.7,95
166,128.1,95
167,128.3,95
168,128.8,95
169,129.2,95
170,129.5,95
171,129.9,95
172,130.3,95
173,130.6,95
174,131.0,95
175,131.4,95
176,131.8,95
177,132.2,95
178,132.6,95
179,132.9,95
180,133.2,95
181,133.7,95
182,134.1,95
183,134.4,95
184,134.8,95
185,135.2,95
186,135.5,95
187,135.9,95
188,136.3,95
189,136.7,95
190,137.1,95
191,137.4,95
192,137.7,95
193,138.1,95
194,138.4,95
195,138.8,95
196,139.1,95
197,139.4,95
198,139.8,95
199,140.1,95
200,140.5,95
201,140.9,95
202,141.2,95
203,141.4,95
204,141.8,95
205,142.1,95
206,142.4,95
207,142.8,95
208,143.1,95
209,143.3,95
210,143.7,95
211,144.1,95
212,144.3,95
213,144.7,95
214,145.0,95
215,145.2,95
216,145.6,95
217,145.8,95
218,146.1,95
219,146.4,95
220,146.7,95
221,147.0,95
222,147.3,95
223,147.7,95
224,147.9,95
225,148.2,95
226,148.6,95
227,148.8,95
228,149.1,95
229,149.4,95
230,149.7,95
231,149.9,95
232,150.3,95
233,150.6,95
234,150.9,95
235,151.2,95
236,151.5,95
237,151.8,95
238,152.0,95
239,152.3,95
240,152.6,95
241,152.8,95
242,153.2,95
243,153.5,95
244,153.7,95
245,154.1,95
246,154.3,95
247,154.6,95
248,154.8,95
249,155.2,95
250,155.4,95
251,155.7,95
252,155.9,95
253,156.1,95
254,156.3,95
255,156.7,95
256,156.9,95
257,157.1,95
258,157.4,95
259,157.7,95
260,157.9,95
261,158.2,95
262,158.4,95
263,158.7,95
264,158.9,95
265,159.3,90
266,159.5,90
267,159.7,90
268,160.1,90
269,160.3,90
270,160.6,90
271,160.9,90
272,161.1,90
273,161.3,90
274,161.6,90
275,161.7,90
276,161.9,90
277,162.2,90
278,162.5,90
279,162.7,90
280,162.9,90
281,163.2,90
282,163.4,90
283,163.7,90
284,163.9,90
285,164.2,90
286,164.4,90
287,164.6,90
288,164.9,90
289,165.1,90
290,165.3,90
291,165.6,90
292,165.8,90
293,166.0,90
294,166.3,90
295,166.5,90
296,166.7,90
297,167.0,90
298,167.2,90
299,167.4,90
300,167.7,90
301,167.9,90
302,168.1,90
303,168.3,90
304,168.6,90
305,168.8,90
306,169.0,90
307,169.2,90
308,169.4,90
309,169.6,90
310,169.8,90
311,170.0,90
312,170.2,90
313,170.5,90
314,170.7,90
315,170.9,90
316,171.1,90
317,171.3,90
318,171.5,90
319,171.8,90
320,172.0,90
321,172.2,90
322,172.3,90
323,172.6,90
324,172.8,90
325,173.0,90
326,173.2,90
327,173.4,90
328,173.7,90
329,173.9,90
330,174.1,90
331,174.3,90
332,174.6,90
333,174.7,90
334,174.9,90
335,175.2,90
336,175.4,90
337,175.6,90
338,175.8,90
339,176.0,90
340,176.2,90
341,176.4,90
342,176.7,90
343,176.9,90
344,177.1,90
345,177.3,90
346,177.5,90
347,177.7,90
348,177.9,90
349,178.1,90
350,178.3,90
351,178.5,90
352,178.7,90
353,178.8,90
354,179.1,90
355,179.2,90
356,179.4,90
357,179.7,90
358,179.9,90
359,180.1,90
360,180.3,90
361,180.6,90
362,180.7,90
363,180.9,90
364,181.2,90
365,181.3,90
366,181.5,90
367,181.8,90
368,182.0,90
369,182.2,90
370,182.3,90
371,182.6,90
372,182.8,90
373,182.9,80
374,183.2,80
375,183.3,80
376,183.5,80
377,183.7,80
378,183.9,80
379,184.1,80
380,184.2,80
381,184.5,80
382,184.7,80
383,184.8,80
384,185.0,80
385,185.2,80
386,185.4,80
387,185.6,80
388,185.7,80
389,185.9,80
390,186.1,80
391,186.2,80
392,186.3,80
393,186.6,80
394,186.7,80
395,186.8,80
396,187.1,80
397,187.2,80
398,187.3,80
399,187.5,80
400,187.7,80
401,187.8,80
402,187.9,80
403,188.1,80
404,188.3,80
405,188.4,80
406,188.6,80
407,188.8,80
408,188.9,80
409,189.1,80
410,189.2,80
411,189.3,80
412,189.6,80
413,189.8,80
414,189.9,80
415,190.1,80
416,190.3,80
417,190.4,80
418,190.7,80
419,190.8,80
420,191.0,80
421,191.1,80
422,191.3,80
423,191.4,80
424,191.6,80
425,191.8,80
426,191.9,80
427,192.1,80
428,192.3,80
429,192.4,80
430,192.6,80
431,192.8,80
432,192.9,75
433,193.1,75
434,193.2,75
435,193.4,75
436,193.6,75
437,193.7,75
438,193.9,75
439,194.1,75
440,194.2,75
441,194.3,75
442,194.5,75
443,194.7,60
444,194.9,60
445,195.1,60
446,195.3,60
447,195.4,60
448,195.5,60
449,195.7,60
450,195.8,60
451,195.9,60
452,196.1,60
453,196.2,60
454,196.4,60
455,196.5,60
456,196.6,60
457,196.8,60
458,196.9,60
459,197.0,60
460,197.1,60
461,197.3,60
462,197.4,60
463,197.5,60
464,197.7,60
465,197.8,60
466,197.9,60
467,198.0,60
468,198.2,60
469,198.3,60
470,198.4,60
471,198.5,60
472,198.6,60
473,198.8,60
474,198.9,60
475,198.9,60
476,199.1,60
477,199.2,60
478,199.3,60
479,199.4,60
480,199.6,60
481,199.7,60
482,199.8,60
483,199.9,60
484,200.1,60
485,200.2,60
486,200.3,60
487,200.4,60
488,200.6,60
489,200.7,60
490,200.8,60
491,200.9,60
492,201.0,60
493,201.2,60
494,201.3,60
495,201.4,60
496,201.6,60
497,201.7,60
498,201.8,60
499,201.9,50
500,202.0,50
501,202.1,50
502,202.3,50
503,202.4,50
504,202.4,50
505,202.6,50
506,202.7,50
507,202.8,50
508,202.9,50
509,203.1,50
510,203.2,50
511,203.3,50
512,203.4,40
513,203.6,40
514,203.6,40
515,203.7,40
516,203.8,40
517,203.9,40
518,204.1,40
519,204.2,40
520,204.3,40
521,204.3,40
522,204.4,40
523,204.6,40
524,204.6,40
525,204.7,40
526,204.8,40
527,204.8,40
528,204.9,40
529,205.0,40
530,205.1,40
531,205.2,40
532,205.3,40
533,205.4,40
534,205.5,40
535,205.6,40
536,205.7,40
537,205.8,40
538,205.8,40
539,205.9,40
540,206.0,40
541,206.1,40
542,206.2,40
543,206.2,40
544,206.3,40
545,206.4,40
546,206.5,40
547,206.6,40
548,206.7,40
549,206.7,40
550,206.8,40
551,206.8,30
552,206.9,30
553,207.0,30
554,207.1,30
555,207.2,30
556,207.2,30
557,207.3,30
558,207.4,30
559,207.5,30
560,207.6,30
561,207.6,30
562,207.7,30
563,207.7,30
564,207.8,30
565,207.8,30
566,207.9,30
567,207.9,30
568,208.1,30
569,208.1,30
570,208.1,30
571,208.2,30
572,208.2,30
573,208.3,30
574,208.3,30
575,208.3,30
576,208.4,30
577,208.4,30
578,208.4,30
579,208.5,30
580,208.6,30
581,208.6,30
582,208.7,30
583,208.7,30
584,208.8,30
585,208.8,30
586,208.9,30
587,208.9,30
588,209.0,30
589,209.0,30
590,209.1,30
591,209.1,30
592,209.1,30
593,209.1,25
594,209.1,25
595,209.2,25
596,209.2,25
597,209.3,25
598,209.3,25
599,209.3,25
600,209.3,25
601,209.3,25
602,209.4,25
603,209.4,25
604,209.4,25
605,209.4,25
606,209.5,25
607,209.6,25
608,209.6,25
609,209.7,25
610,209.7,25
611,209.7,25
612,209.7,25
613,209.7,25
614,209.7,25
615,209.7,25
616,209.8,25
617,209.8,25
618,209.8,25
619,209.8,25
620,209.8,25
621,209.8,25
622,209.9,25
623,209.9,20
624,209.9,20
625,210.0,20
626,210.0,20
627,210.0,20
628,210.0,20
