Time,bean_temp,gas_setting
0,216.9,20
1,213.6,20
2,206.6,20
3,196.4,20
4,183.6,20
5,173.3,20
6,164.9,20
7,154.2,20
8,146.8,20
9,139.3,20
10,131.3,20
11,124.8,20
12,120.1,20
13,113.7,20
14,108.7,20
15,104.8,20
16,100.7,20
17,96.8,20
18,93.9,20
19,91.1,20
20,88.1,20
21,85.7,20
22,83.8,20
23,81.5,20
24,79.7,20
25,78.4,20
26,76.8,20
27,75.5,20
28,74.6,94
29,73.6,94
30,72.7,94
31,72.1,94
32,71.6,94
33,71.1,94
34,70.8,94
35,70.6,94
36,70.3,94
37,70.2,94
38,70.2,94
39,70.3,94
40,70.3,94
41,70.4,94
42,70.6,94
43,70.9,94
44,71.2,94
45,71.4,94
46,71.8,94
47,72.2,94
48,72.7,94
49,73.2,94
50,73.6,94
51,74.0,94
52,74.5,94
53,74.9,94
54,75.3,94
55,75.8,94
56,76.3,94
57,76.8,94
58,77.3,94
59,77.9,94
60,78.4,94
61,78.9,94
62,79.6,94
63,80.1,94
64,80.6,94
65,81.2,94
66,81.6,94
67,82.2,94
68,82.8,94
69,83.4,94
70,83.8,94
71,84.4,94
72,85.0,94
73,85.5,94
74,86.2,94
75,86.8,94
76,87.2,94
77,87.8,94
78,88.4,94
79,88.9,94
80,89.4,94
81,90.1,94
82,90.6,94
83,91.1,94
84,91.8,94
85,92.3,94
86,92.8,94
87,93.4,94
88,94.1,94
89,94.6,94
90,95.1,94
91,95.7,94
92,96.2,94
93,96.7,94
94,97.3,94
95,97.7,94
96,98.3,94
97,98.9,94
98,99.5,94
99,99.9,94
100,100.5,94
101,101.1,94
102,101.6,94
103,102.2,94
104,102.7,94
105,103.2,94
106,103.7,94
107,104.3,94
108,104.8,94
109,105.3,94
110,105.9,94
111,106.4,94
112,106.9,94
113,107.5,94
114,108.1,94
115,108.5,94
116,109.1,94
117,109.6,94
118,110.0,94
119,110.4,94
120,111.0,94
121,111.4,94
122,111.8,94
123,112.4,94
124,112.8,94
125,113.3,94
126,113.9,94
127,114.3,94
128,114.8,94
129,115.3,94
130,115.8,94
131,116.2,94
132,116.7,94
133,117.2,94
134,117.6,94
135,118.0,94
136,118.5,94
137,118.9,94
138,119.3,94
139,119.8,94
140,120.3,94
141,120.7,94
142,121.3,94
143,121.8,94
144,122.2,94
145,122.6,94
146,123.1,94
147,123.5,94
148,123.9,94
149,124.4,94
150,124.8,94
151,125.2,94
152,125.7,94
153,126.0,94
154,126.5,94
155,126.9,94
156,127.4,94
157,127.7,94
158,128.2,94
159,128.6,94
160,128.9,94
161,129.4,94
162,129.9,94
163,130.2,94
164,130.6,94
165,131.1,94
166,131.5,94
167,131.9,94
168,132.3,94
169,132.7,94
170,133.1,94
171,133.6,94
172,133.9,94
173,134.2,94
174,134.7,94
175,135.1,94
176,135.4,94
177,135.8,94
178,136.3,94
179,136.6,94
180,136.9,94
181,137.3,94
182,137.6,94
183,138.1,94
184,138.4,94
185,138.8,94
186,139.1,94
187,139.5,94
188,139.9,94
189,140.2,94
190,140.6,94
191,140.9,94
192,141.3,94
193,141.7,94
194,142.1,94
195,142.4,94
196,142.7,94
