Time,bean_temp,gas_setting
0,213.2,20
1,213.2,20
2,213.1,20
3,203.8,20
4,193.5,20
5,183.4,20
6,169.3,20
7,158.1,20
8,150.6,20
9,139.9,20
10,131.7,20
11,126.1,20
12,118.2,20
13,112.4,20
14,107.9,20
15,102.7,20
16,97.9,20
17,94.4,20
18,90.9,20
19,87.4,20
20,84.6,43
21,82.3,43
22,79.6,43
23,77.4,43
24,75.9,43
25,73.9,43
26,72.3,43
27,71.2,95
28,69.9,95
29,68.8,95
30,67.9,95
31,67.2,95
32,66.6,95
33,66.1,95
34,65.8,95
35,65.6,95
36,65.4,95
37,65.3,95
38,65.4,95
39,65.5,95
40,65.6,95
41,65.9,95
42,66.2,95
43,66.4,95
44,66.8,95
45,67.2,95
46,67.6,95
47,68.0,95
48,68.6,95
49,69.1,95
50,69.5,95
51,70.0,95
52,70.6,95
53,70.9,95
54,71.6,95
55,72.1,95
56,72.6,95
57,73.1,95
58,73.8,95
59,74.3,95
60,74.8,95
61,75.5,95
62,76.1,95
63,76.4,95
64,77.2,95
65,77.8,95
66,78.2,95
67,78.9,95
68,79.6,95
69,80.0,95
70,80.8,95
71,81.4,95
72,81.9,95
73,82.6,95
74,83.2,95
75,83.7,95
76,84.3,95
77,84.9,95
78,85.5,95
79,86.0,95
80,86.7,95
81,87.3,95
82,87.7,95
83,88.4,95
84,89.1,95
85,89.6,95
86,90.2,95
87,90.8,95
88,91.4,95
89,91.9,95
90,92.5,95
91,93.1,95
92,93.6,95
93,94.3,95
94,94.8,95
95,95.2,95
96,95.9,95
97,96.5,95
98,97.0,95
99,97.6,95
100,98.2,95
101,98.7,95
102,99.3,95
103,99.9,95
104,100.4,95
105,100.9,95
106,101.5,95
107,102.0,95
108,102.4,95
109,103.1,95
110,103.6,95
111,104.0,95
112,104.6,95
113,105.2,95
114,105.7,95
115,106.2,95
116,106.8,95
117,107.2,95
118,107.6,95
119,108.2,95
120,108.8,95
121,109.2,95
122,109.8,95
123,110.3,95
124,110.7,95
125,111.3,95
126,111.8,95
127,112.2,95
128,112.8,95
129,113.3,95
130,113.7,95
131,114.2,95
132,114.7,95
133,115.2,95
134,115.6,95
135,116.2,95
136,116.7,95
137,117.1,95
138,117.6,95
139,118.1,95
140,118.3,95
141,118.9,95
142,119.4,95
143,119.7,95
144,120.2,95
145,120.7,95
146,121.1,95
147,121.6,95
148,122.1,95
149,122.5,95
150,122.8,95
151,123.3,95
152,123.8,95
153,124.1,95
154,124.7,95
155,125.2,95
156,125.6,95
157,126.0,95
158,126.4,95
159,126.7,95
160,127.2,95
161,127.7,95
162,128.1,95
163,128.6,95
164,129.1,95
165,129.4,95
166,129.8,95
167,130.3,95
168,130.7,95
169,130.9,95
170,131.4,95
171,131.8,95
172,132.2,95
173,132.6,95
174,133.1,95
175,133.4,95
176,133.8,95
177,134.2,95
178,134.6,95
179,134.9,95
180,135.3,95
181,135.7,95
182,136.0,95
183,136.5,95
184,136.9,95
185,137.2,95
186,137.6,95
187,138.0,95
188,138.3,95
189,138.7,95
190,139.2,95
191,139.5,95
192,139.8,95
193,140.3,95
194,140.6,95
195,140.9,95
196,141.3,95
197,141.6,95
198,141.8,95
199,142.2,95
200,142.6,95
201,142.9,95
202,143.3,90
203,143.7,90
204,144.0,90
205,144.3,90
206,144.7,90
207,145.1,90
208,145.3,90
209,145.7,90
210,146.1,90
211,146.3,90
212,146.7,90
213,147.0,90
214,147.3,90
215,147.6,90
216,147.9,90
217,148.2,90
218,148.5,90
219,148.8,90
220,149.1,90
221,149.4,90
222,149.7,90
223,150.0,90
224,150.3,90
225,150.6,90
226,150.8,90
227,151.1,90
228,151.4,90
229,151.8,90
230,152.0,90
231,152.3,90
232,152.6,90
233,152.9,90
234,153.2,90
235,153.5,90
236,153.8,90
237,154.1,90
238,154.4,90
239,154.7,90
240,154.8,90
241,155.2,90
242,155.6,90
243,155.8,90
244,156.1,90
245,156.3,90
246,156.6,90
247,156.8,90
248,157.1,90
249,157.3,90
250,157.5,90
251,157.8,90
252,158.1,90
253,158.3,90
254,158.6,90
255,158.8,90
256,159.1,90
257,159.4,90
258,159.7,90
259,159.9,90
260,160.2,90
261,160.5,90
262,160.7,90
263,160.9,90
264,161.2,90
265,161.4,90
266,161.6,90
267,161.9,90
268,162.2,90
269,162.4,90
270,162.8,90
271,163.1,90
272,163.2,90
273,163.6,90
274,163.8,90
275,164.0,90
276,164.3,90
277,164.6,90
278,164.8,90
279,165.1,90
280,165.3,90
281,165.6,90
282,165.8,90
283,166.1,90
284,166.3,90
285,166.6,90
286,166.8,90
287,167.1,90
288,167.3,85
289,167.6,85
290,167.8,85
291,168.1,85
292,168.3,85
293,168.6,85
294,168.8,85
295,169.0,85
296,169.3,85
297,169.5,85
298,169.7,85
299,169.9,85
300,170.2,85
301,170.4,85
302,170.7,85
303,170.9,85
304,171.1,85
305,171.3,85
306,171.6,85
307,171.8,85
308,172.0,85
309,172.3,85
310,172.5,85
311,172.7,85
312,172.9,85
313,173.1,85
314,173.3,85
315,173.6,85
316,173.8,85
317,173.9,85
318,174.2,85
319,174.4,85
320,174.6,85
321,174.8,80
322,174.9,80
323,175.2,80
324,175.3,80
325,175.6,80
326,175.7,80
327,175.9,80
328,176.2,80
329,176.4,80
330,176.6,80
331,176.8,80
332,177.0,80
333,177.1,80
334,177.4,80
335,177.6,80
336,177.7,80
337,177.9,80
338,178.2,80
339,178.3,80
340,178.5,80
341,178.7,80
342,178.9,80
343,179.0,80
344,179.2,80
345,179.4,80
346,179.6,80
347,179.8,80
348,180.1,80
349,180.2,80
350,180.4,80
351,180.6,80
352,180.8,80
353,181.0,80
354,181.2,80
355,181.3,80
356,181.5,80
357,181.7,80
358,181.9,80
359,182.1,80
360,182.3,80
361,182.5,80
362,182.6,80
363,182.9,80
364,183.1,80
365,183.2,80
366,183.4,80
367,183.6,80
368,183.8,80
369,183.9,75
370,184.2,75
371,184.3,75
372,184.4,75
373,184.7,75
374,184.8,75
375,185.0,75
376,185.2,75
377,185.4,75
378,185.5,75
379,185.7,75
380,185.9,75
381,186.1,75
382,186.2,75
383,186.4,75
384,186.6,75
385,186.7,75
386,186.9,75
387,187.1,75
388,187.3,75
389,187.4,75
390,187.6,75
391,187.7,75
392,187.9,75
393,188.1,75
394,188.2,75
395,188.4,75
396,188.6,75
397,188.7,75
398,188.9,75
399,189.1,75
400,189.3,75
401,189.4,75
402,189.6,75
403,189.7,75
404,189.9,75
405,190.1,75
406,190.3,75
407,190.4,70
408,190.6,70
409,190.8,70
410,190.9,70
411,191.1,70
412,191.3,70
413,191.4,70
414,191.6,70
415,191.8,70
416,191.9,70
417,192.1,70
418,192.3,70
419,192.4,70
420,192.5,70
421,192.7,70
422,192.9,65
423,193.0,65
424,193.2,65
425,193.3,65
426,193.4,65
427,193.6,65
428,193.7,65
429,193.9,65
430,193.9,65
431,194.1,65
432,194.3,65
433,194.4,65
434,194.6,65
435,194.7,65
436,194.8,65
437,194.9,65
438,195.1,65
439,195.2,65
440,195.3,65
441,195.4,65
442,195.6,65
443,195.7,65
444,195.9,60
445,196.1,60
446,196.2,60
447,196.4,60
448,196.5,60
449,196.6,60
450,196.7,60
451,196.9,60
452,197.0,60
453,197.2,60
454,197.3,60
455,197.4,60
456,197.5,60
457,197.6,60
458,197.7,60
459,197.8,60
460,197.9,60
461,198.1,60
462,198.2,60
463,198.3,60
464,198.4,60
465,198.6,60
466,198.7,60
467,198.8,60
468,198.9,60
469,199.0,60
470,199.2,60
471,199.3,60
472,199.4,60
473,199.6,60
474,199.7,60
475,199.8,60
476,199.9,60
477,200.0,60
478,200.1,60
479,200.3,60
480,200.4,60
481,200.6,60
482,200.6,60
483,200.8,60
484,200.8,55
485,200.9,55
486,201.1,55
487,201.2,55
488,201.3,55
489,201.4,55
490,201.6,55
491,201.7,55
492,201.7,55
493,201.8,55
494,201.9,55
495,202.1,55
496,202.2,55
497,202.3,55
498,202.4,55
499,202.6,55
500,202.7,55
501,202.8,55
502,202.9,55
503,203.0,55
504,203.1,55
505,203.2,55
506,203.3,55
507,203.4,55
508,203.5,55
509,203.6,55
510,203.7,55
511,203.8,50
512,203.9,50
513,204.0,50
514,204.1,50
515,204.2,50
516,204.3,50
517,204.4,50
518,204.4,50
519,204.6,50
520,204.6,50
521,204.7,50
522,204.8,50
523,204.9,50
524,205.0,50
525,205.1,50
526,205.2,50
527,205.2,50
528,205.3,50
529,205.4,50
530,205.5,50
531,205.6,50
532,205.7,50
533,205.7,50
534,205.8,50
535,205.9,50
536,205.9,50
537,206.0,50
538,206.1,50
539,206.2,50
540,206.3,50
541,206.3,50
542,206.3,50
543,206.4,45
544,206.4,45
545,206.5,45
546,206.6,45
547,206.6,45
548,206.7,45
549,206.8,45
550,206.9,45
551,206.9,45
552,207.0,45
553,207.1,45
554,207.2,45
555,207.2,45
556,207.3,45
557,207.3,45
558,207.4,45
559,207.4,45
560,207.5,45
561,207.6,45
562,207.6,45
563,207.7,45
564,207.7,45
565,207.8,45
566,207.8,45
567,207.8,45
568,207.9,45
569,207.9,45
570,208.0,45
571,208.1,45
572,208.1,45
573,208.2,45
574,208.2,45
575,208.3,45
576,208.3,45
577,208.4,45
578,208.4,45
579,208.6,45
580,208.6,45
581,208.6,40
582,208.7,40
583,208.7,40
584,208.8,40
585,208.9,40
586,208.9,40
587,209.1,40
588,209.1,40
589,209.2,40
590,209.3,40
591,209.4,40
592,209.5,40
593,209.6,40
594,209.6,40
595,209.7,40
596,209.7,35
597,209.8,35
