Time,bean_temp,gas_setting
0,197.8,20
1,197.1,20
2,194.6,20
3,185.2,20
4,176.3,20
5,167.6,20
6,156.9,20
7,148.3,20
8,142.3,20
9,133.7,20
10,126.9,20
11,121.6,20
12,115.8,20
13,110.1,20
14,105.8,20
15,101.6,20
16,97.3,20
17,94.6,20
18,91.1,20
19,87.8,36
20,85.6,30
21,83.3,30
22,80.9,30
23,79.1,30
24,77.7,30
25,75.9,30
26,74.4,30
27,73.2,30
28,72.1,30
29,70.9,30
30,70.2,30
31,69.5,30
32,68.9,30
33,68.4,30
34,68.0,30
35,67.5,30
36,67.2,30
37,67.0,30
38,66.7,30
39,66.6,30
40,66.4,30
41,66.4,30
42,66.5,30
43,66.6,30
44,66.7,30
45,66.9,30
46,67.0,30
47,67.3,30
48,67.6,30
49,67.8,30
50,68.0,30
51,68.3,30
52,68.6,30
53,68.9,30
54,69.3,30
55,69.7,30
56,69.9,30
57,70.4,30
58,70.8,30
59,71.1,50
60,71.6,50
61,72.0,50
62,72.4,50
63,72.8,50
64,73.3,50
65,73.8,50
66,74.2,50
67,74.8,50
68,75.4,50
69,75.8,50
70,76.4,50
71,77.0,50
72,77.5,50
73,77.9,50
74,78.6,50
75,78.9,50
76,79.6,50
77,80.2,50
78,80.7,50
79,81.2,50
80,81.9,50
81,82.4,50
82,82.9,50
83,83.6,50
84,84.1,50
85,84.6,50
86,85.2,50
87,85.7,50
88,86.2,50
89,86.8,50
90,87.5,50
91,88.0,50
92,88.5,50
93,89.2,50
94,89.7,50
95,90.2,50
96,90.8,50
97,91.4,50
98,91.9,50
99,92.5,50
100,93.1,50
101,93.6,50
102,94.1,50
103,94.7,50
104,95.1,50
105,95.8,50
106,96.4,50
107,96.9,50
108,97.3,50
109,97.9,50
110,98.5,50
111,98.9,50
112,99.6,50
113,100.1,50
114,100.4,50
115,101.1,50
116,101.6,50
117,102.0,50
118,102.5,50
119,103.1,50
120,103.5,50
121,103.9,50
122,104.4,50
123,104.9,50
124,105.3,50
125,105.9,50
126,106.3,50
127,106.7,50
128,107.3,50
129,107.8,50
130,108.3,50
131,108.8,50
132,109.3,50
133,109.6,50
134,110.2,50
135,110.7,50
136,111.1,50
137,111.6,50
138,112.1,50
139,112.5,50
140,112.9,50
141,113.4,50
142,113.8,50
143,114.2,50
144,114.6,50
145,115.1,50
146,115.5,50
147,116.0,50
148,116.6,50
149,117.0,50
150,117.4,50
151,117.8,50
152,118.2,50
153,118.6,50
154,119.1,50
155,119.5,50
156,119.8,50
157,120.3,50
158,120.7,50
159,121.0,50
160,121.4,50
161,121.8,50
162,122.1,50
163,122.6,50
164,123.1,50
165,123.4,50
166,123.9,50
167,124.3,50
168,124.7,50
169,125.1,50
170,125.5,50
171,125.9,50
172,126.2,50
173,126.6,50
174,127.0,50
175,127.3,50
176,127.7,50
177,128.2,50
178,128.6,50
179,128.9,50
180,129.3,50
181,129.7,50
182,129.9,50
183,130.4,50
184,130.8,50
185,131.1,50
186,131.5,50
187,131.9,50
188,132.3,50
189,132.6,50
190,132.9,50
191,133.1,50
192,133.6,50
193,134.0,50
194,134.4,50
195,134.7,50
196,135.1,50
197,135.4,50
198,135.7,50
199,136.1,50
200,136.4,50
201,136.6,50
202,137.0,50
203,137.3,50
204,137.6,50
205,137.9,50
206,138.3,50
207,138.6,50
208,138.8,50
209,139.2,50
210,139.6,50
211,139.8,50
212,140.2,50
213,140.6,50
214,140.8,50
215,141.1,50
216,141.4,50
217,141.7,50
218,142.0,50
219,142.3,50
220,142.5,50
221,142.8,50
222,143.2,50
223,143.4,50
224,143.8,50
225,144.1,50
226,144.4,50
227,144.7,50
228,145.0,50
229,145.3,50
230,145.4,50
231,145.8,50
232,146.1,50
233,146.3,50
234,146.6,50
235,146.9,50
236,147.2,50
237,147.5,50
238,147.8,50
239,148.1,50
240,148.3,50
241,148.6,50
242,148.9,50
243,149.1,50
244,149.4,50
245,149.7,50
246,149.9,50
247,150.2,50
248,150.4,50
249,150.6,50
250,150.9,50
251,151.2,50
252,151.4,50
253,151.7,50
254,152.0,50
255,152.3,50
256,152.4,50
257,152.7,50
258,153.0,50
259,153.2,50
260,153.4,50
261,153.7,50
262,153.9,50
263,154.2,50
264,154.4,50
265,154.7,50
266,154.9,50
267,155.1,50
268,155.3,50
269,155.5,50
270,155.7,50
271,156.0,50
272,156.2,50
273,156.4,50
274,156.7,50
275,156.9,50
276,157.2,50
277,157.4,50
278,157.6,50
279,157.8,50
280,158.1,50
281,158.3,50
282,158.5,50
283,158.8,50
284,158.9,50
285,159.2,50
286,159.4,50
287,159.6,50
288,159.8,50
289,160.1,50
290,160.4,50
291,160.6,50
292,160.8,50
293,161.1,50
294,161.2,50
295,161.4,50
296,161.7,50
297,161.9,50
298,162.1,50
299,162.3,50
300,162.6,50
301,162.8,50
302,163.0,50
303,163.2,50
304,163.4,50
305,163.7,50
306,163.9,50
307,164.1,50
308,164.4,50
309,164.7,50
310,164.9,50
311,165.1,50
312,165.3,50
313,165.5,50
314,165.7,50
315,165.9,50
316,166.1,50
317,166.2,50
318,166.4,50
319,166.7,50
320,166.8,50
321,167.1,50
322,167.3,50
323,167.5,50
324,167.7,50
325,167.9,50
326,168.2,50
327,168.3,50
328,168.6,50
329,168.8,50
330,168.9,50
331,169.2,50
332,169.4,50
333,169.6,50
334,169.8,50
335,170.0,50
336,170.1,50
337,170.4,50
338,170.6,50
339,170.8,50
340,170.9,50
341,171.2,50
342,171.4,50
343,171.6,50
344,171.8,50
345,172.0,50
346,172.2,50
347,172.4,45
348,172.6,45
349,172.8,45
350,173.1,45
351,173.3,45
352,173.4,45
353,173.7,45
354,173.8,45
355,174.0,45
356,174.2,45
357,174.4,45
358,174.6,45
359,174.7,45
360,174.9,45
361,175.1,45
362,175.2,45
363,175.4,45
364,175.6,45
365,175.7,45
366,176.0,45
367,176.2,45
368,176.4,45
369,176.6,45
370,176.7,45
371,176.9,45
372,177.0,45
373,177.2,45
374,177.4,45
375,177.6,40
376,177.8,40
377,178.0,40
378,178.1,40
379,178.3,40
380,178.6,40
381,178.7,40
382,178.8,40
383,179.0,40
384,179.1,40
385,179.2,40
386,179.4,40
387,179.6,40
388,179.7,40
389,179.9,40
390,180.1,40
391,180.2,40
392,180.3,40
393,180.5,40
394,180.6,40
395,180.8,40
396,180.9,40
397,181.1,40
398,181.2,40
399,181.4,40
400,181.6,40
401,181.7,40
402,181.8,40
403,182.0,40
404,182.1,40
405,182.2,40
406,182.4,40
407,182.5,40
408,182.6,40
409,182.8,40
410,182.9,40
411,183.1,35
412,183.2,35
413,183.3,35
414,183.4,35
415,183.7,35
416,183.8,35
417,183.9,35
418,184.2,35
419,184.3,35
420,184.4,35
421,184.5,35
422,184.6,35
423,184.7,35
424,184.9,35
425,185.1,35
426,185.2,35
427,185.3,35
428,185.5,35
429,185.6,35
430,185.7,35
431,185.9,35
432,186.1,35
433,186.2,35
434,186.3,35
435,186.5,35
436,186.6,35
437,186.7,35
438,186.8,35
439,186.9,35
440,187.1,35
441,187.2,35
442,187.3,35
443,187.4,35
444,187.5,35
445,187.6,35
446,187.7,35
447,187.9,35
448,188.0,35
449,188.1,35
450,188.2,35
451,188.3,35
452,188.4,35
453,188.7,35
454,188.9,35
455,189.0,35
456,189.2,35
457,189.3,35
458,189.4,35
459,189.5,35
460,189.7,35
461,189.8,35
462,189.9,35
463,190.0,33
464,190.2,33
465,190.2,33
466,190.3,33
467,190.5,33
468,190.6,33
469,190.7,33
470,190.8,32
471,190.9,32
472,191.1,32
473,191.2,32
474,191.3,32
475,191.4,32
476,191.6,32
477,191.7,32
478,191.8,32
479,191.9,32
480,192.1,32
481,192.2,32
482,192.4,32
483,192.5,32
484,192.6,32
485,192.7,32
486,192.8,32
487,192.9,32
488,193.1,32
489,193.2,30
490,193.4,30
491,193.4,30
492,193.6,30
493,193.7,30
494,193.7,30
495,193.8,30
496,193.9,30
497,194.0,30
498,194.1,30
499,194.3,30
500,194.3,30
501,194.4,30
502,194.6,30
503,194.7,30
504,194.8,30
505,194.9,30
506,195.0,30
507,195.1,30
508,195.3,30
509,195.3,30
510,195.4,30
511,195.6,30
512,195.8,30
513,195.9,30
514,195.9,30
515,196.1,30
516,196.2,30
517,196.4,30
518,196.6,30
519,196.7,30
520,196.8,30
521,196.9,30
522,197.0,28
523,197.1,28
524,197.2,26
525,197.3,26
526,197.4,26
527,197.6,26
528,197.7,26
529,197.8,26
530,197.8,26
531,198.0,26
532,198.1,26
533,198.2,26
534,198.3,26
535,198.4,26
536,198.6,26
537,198.7,26
538,198.8,26
539,198.9,26
540,199.1,26
541,199.2,26
542,199.2,26
543,199.3,26
544,199.4,26
545,199.5,26
546,199.6,26
547,199.7,26
548,199.8,26
549,199.9,26
550,200.1,26
551,200.2,26
552,200.3,26
553,200.4,26
554,200.5,26
555,200.6,26
556,200.7,25
557,200.8,25
558,200.9,25
559,201.1,25
560,201.2,25
561,201.4,25
562,201.4,25
563,201.6,25
564,201.7,25
565,201.8,25
566,201.9,23
567,202.1,23
568,202.1,23
569,202.3,23
570,202.4,23
571,202.6,23
572,202.7,23
573,202.8,23
574,202.9,20
575,203.0,20
576,203.1,20
577,203.2,20
578,203.2,20
579,203.4,20
580,203.5,20
581,203.6,20
582,203.7,20
583,203.8,20
584,203.9,20
585,204.0,20
586,204.1,20
587,204.1,20
588,204.2,20
589,204.3,20
590,204.4,20
591,204.4,20
592,204.6,20
593,204.7,20
594,204.7,20
595,204.8,20
596,204.9,20
597,205.0,20
598,205.1,20
599,205.2,20
600,205.3,20
601,205.4,20
602,205.4,20
603,205.5,20
604,205.6,20
605,205.7,20
606,205.8,20
607,205.8,20
608,205.9,20
609,206.0,20
610,206.1,20
611,206.2,20
612,206.3,20
613,206.3,20
614,206.4,20
615,206.4,20
616,206.5,20
617,206.6,20
618,206.7,20
619,206.7,20
620,206.7,20
621,206.8,20
622,206.9,20
623,207.0,20
624,207.1,20
625,207.2,20
626,207.3,20
627,207.3,20
628,207.4,20
629,207.5,20
630,207.6,20
631,207.7,20
632,207.8,20
633,207.9,20
634,208.1,20
635,208.1,20
636,208.2,20
637,208.3,20
638,208.4,20
639,208.4,20
640,208.6,20
641,208.6,20
642,208.7,20
643,208.8,20
644,208.9,20
645,208.9,20
646,209.1,20
647,209.2,20
648,209.2,20
649,209.3,20
650,209.3,20
651,209.4,20
652,209.5,20
653,209.6,20
654,209.7,20
655,209.7,20
656,209.8,20
657,209.9,20
658,210.0,20
659,210.1,20
660,210.2,20
661,210.2,20
662,210.3,20
663,210.4,20
664,210.4,20
665,210.6,20
666,210.6,20
667,210.7,20
668,210.7,20
669,210.8,20
670,210.9,20
671,211.0,20
672,211.0,20
673,211.1,20
674,211.1,20
675,211.2,20
676,211.3,20
677,211.3,20
678,211.4,20
