Time,bean_temp,gas_setting
0,201.4,20
1,198.9,20
2,194.4,20
3,183.3,20
4,173.7,20
5,165.9,20
6,154.7,20
7,147.1,20
8,140.0,20
9,131.6,20
10,124.8,20
11,119.9,20
12,113.5,20
13,108.7,20
14,104.9,20
15,100.7,20
16,96.7,20
17,93.7,20
18,90.7,20
19,87.7,20
20,85.2,20
21,83.3,20
22,80.8,20
23,78.9,35
24,77.5,35
25,75.7,35
26,74.2,35
27,73.2,35
28,72.1,35
29,71.1,35
30,70.4,35
31,69.7,35
32,69.0,35
33,68.5,35
34,68.1,35
35,67.7,35
36,67.5,35
37,67.3,35
38,67.2,35
39,67.1,35
40,67.1,35
41,67.2,35
42,67.2,35
43,67.3,35
44,67.4,35
45,67.6,35
46,67.8,35
47,68.0,35
48,68.3,35
49,68.6,35
50,68.9,35
51,69.3,35
52,69.6,35
53,69.9,35
54,70.3,35
55,70.7,35
56,71.0,35
57,71.4,35
58,71.9,35
59,72.3,35
60,72.6,35
61,73.1,35
62,73.6,35
63,74.0,35
64,74.6,60
65,74.9,60
66,75.4,60
67,75.9,60
68,76.4,60
69,76.8,60
70,77.4,60
71,78.0,60
72,78.4,60
73,79.1,60
74,79.7,60
75,80.2,60
76,80.7,60
77,81.4,60
78,81.9,60
79,82.5,60
80,83.2,60
81,83.8,60
82,84.2,60
83,84.9,60
84,85.6,60
85,86.1,60
86,86.7,60
87,87.4,60
88,87.9,60
89,88.5,60
90,89.2,60
91,89.8,60
92,90.2,60
93,90.9,60
94,91.4,60
95,91.9,60
96,92.6,60
97,93.2,60
98,93.7,60
99,94.4,60
100,95.1,60
101,95.5,60
102,96.2,60
103,96.8,60
104,97.4,60
105,98.0,60
106,98.6,60
107,99.2,60
108,99.6,60
109,100.2,60
110,100.8,60
111,101.2,60
112,101.9,60
113,102.4,60
114,103.0,60
115,103.6,60
116,104.2,60
117,104.7,60
118,105.2,60
119,105.8,60
120,106.3,60
121,106.8,60
122,107.4,60
123,107.8,60
124,108.4,60
125,109.0,60
126,109.5,60
127,109.9,60
128,110.4,60
129,110.9,60
130,111.4,60
131,111.9,60
132,112.5,60
133,112.9,60
134,113.4,60
135,113.9,60
136,114.4,60
137,114.8,60
138,115.3,60
139,115.8,60
140,116.2,60
141,116.8,60
142,117.3,60
143,117.7,60
144,118.2,60
145,118.7,60
146,119.2,60
147,119.6,60
148,120.1,60
149,120.6,60
150,121.0,60
151,121.6,60
152,121.8,60
153,122.3,60
154,122.9,60
155,123.3,60
156,123.8,60
157,124.3,55
158,124.7,55
159,125.1,55
160,125.6,55
161,126.1,55
162,126.4,55
163,126.9,55
164,127.3,55
165,127.7,55
166,128.1,55
167,128.6,55
168,129.0,55
169,129.3,55
170,129.7,55
171,130.2,55
172,130.5,55
173,130.9,55
174,131.4,55
175,131.7,55
176,132.1,55
177,132.6,55
178,132.9,55
179,133.3,55
180,133.7,55
181,133.9,55
182,134.4,55
183,134.8,55
184,135.2,55
185,135.5,55
186,135.9,55
187,136.3,55
188,136.6,55
189,137.0,55
190,137.3,55
191,137.6,55
192,138.0,50
193,138.3,50
194,138.7,50
195,139.0,50
196,139.4,50
197,139.7,50
198,140.0,50
199,140.4,50
200,140.7,50
201,140.9,50
202,141.3,50
203,141.7,50
204,141.9,50
205,142.3,50
206,142.6,50
207,142.9,50
208,143.2,50
209,143.5,50
210,143.7,50
211,144.1,50
212,144.4,50
213,144.6,50
214,144.9,50
215,145.2,50
216,145.6,50
217,145.8,50
218,146.1,50
219,146.4,50
220,146.6,50
221,146.9,50
222,147.2,50
223,147.4,50
224,147.7,50
225,148.1,50
226,148.3,50
227,148.5,50
228,148.8,50
229,149.1,50
230,149.3,50
231,149.6,50
232,149.8,50
233,150.1,50
234,150.4,50
235,150.6,50
236,150.9,50
237,151.1,50
238,151.4,50
239,151.6,50
240,151.8,50
241,152.1,50
242,152.3,50
243,152.6,50
244,152.8,50
245,153.1,50
246,153.3,50
247,153.6,50
